"constituency","Party","election","Classification","Median_Age","Total_Rural_Population","Total_Urban_Population","Higher_Managerial","Lower_Managerial","Intermediate_Occupations","Small_Employers","Lower_Supervisory","Semi_Routine","Routine_Occupations","Never_Worked_Unemployed","Never_Worked","Long_Term_Unemployed","Total_Students_Count","yearly_avg_tavg","yearly_avg_tmin","yearly_avg_tmax","yearly_avg_prcp","yearly_avg_wspd","yearly_avg_pres","yearly_avg_tsun","Election","country.region","con_share","lib_share","lab_share","oth_share","environment","Flood Alert","Flood Warning","Update Flood Alert","Update Flood Warning","Severe Flood Warning","Update Severe Flood Warning","Flood Watch"
"aldridge-brownhills"," Liberal Democrats","2010","Predominantly Urban",44,2721,74253,4664,11316,8040,5218,4357,8875,7060,2792,1676,1116,1725,9.275,5.275,13.2166666666667,51.6666666666667,12.425,1013.025,6970,"2010 General Election","West Midlands",0.593,0.177,0.198,0.032,0,NA,NA,NA,NA,NA,NA,NA
"aldridge-brownhills"," Conservative Party","2015","Predominantly Urban",44,2721,74253,4664,11316,8040,5218,4357,8875,7060,2792,1676,1116,1725,9.275,5.275,13.2166666666667,51.6666666666667,12.425,1013.025,6970,"2015 General Election","West Midlands",0.52,0.034,0.224,0.222,0,NA,NA,NA,NA,NA,NA,NA
"aldridge-brownhills"," Liberal Democrats","2015","Predominantly Urban",44,2721,74253,4664,11316,8040,5218,4357,8875,7060,2792,1676,1116,1725,9.275,5.275,13.2166666666667,51.6666666666667,12.425,1013.025,6970,"2015 General Election","West Midlands",0.52,0.034,0.224,0.222,5,NA,NA,NA,NA,NA,NA,NA
"arundel and south downs"," Labour Party","2010","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2010 General Election",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"arundel and south downs"," Liberal Democrats","2010","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2010 General Election",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"arundel and south downs"," Conservative Party","2010","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2010 General Election",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"arundel and south downs"," UK Independence Party","2015","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2015 General Election",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"arundel and south downs"," UK Independence Party","2015","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2015 General Election",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"arundel and south downs"," Liberal Democrats","2015","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2015 General Election",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"arundel and south downs"," Conservative Party","2015","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2015 General Election",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
