Election,Party,environment,constituency,Election Date,Year Before Election,yearly_avg_tavg,yearly_avg_tmin,yearly_avg_tmax,yearly_avg_prcp,yearly_avg_wspd,yearly_avg_pres,yearly_avg_tsun
2010 General Election, Liberal Democrats,0,aldridge-brownhills,2010-05-06,2009-05-06,9.275,5.275,13.216666666666663,51.666666666666664,12.425000000000002,1013.0249999999999,6970.0
2015 General Election, Conservative Party,0,aldridge-brownhills,2015-05-07,2014-05-07,9.275,5.275,13.216666666666663,51.666666666666664,12.425000000000002,1013.0249999999999,6970.0
2015 General Election, Liberal Democrats,5,aldridge-brownhills,2015-05-07,2014-05-07,9.275,5.275,13.216666666666663,51.666666666666664,12.425000000000002,1013.0249999999999,6970.0
2010 General Election, Labour Party,0,arundel and south downs,2010-05-06,2009-05-06,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2010 General Election, Liberal Democrats,0,arundel and south downs,2010-05-06,2009-05-06,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2010 General Election, Conservative Party,0,arundel and south downs,2010-05-06,2009-05-06,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2015 General Election, UK Independence Party,1,arundel and south downs,2015-05-07,2014-05-07,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2015 General Election, UK Independence Party,0,arundel and south downs,2015-05-07,2014-05-07,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2015 General Election, Liberal Democrats,3,arundel and south downs,2015-05-07,2014-05-07,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2015 General Election, Conservative Party,8,arundel and south downs,2015-05-07,2014-05-07,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2015 General Election, Labour Party,1,arundel and south downs,2015-05-07,2014-05-07,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2015 General Election, Green Party,19,arundel and south downs,2015-05-07,2014-05-07,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2015 General Election, UK Independence Party,32,arundel and south downs,2015-05-07,2014-05-07,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2017 General Election, Green Party,11,arundel and south downs,2017-06-08,2016-06-08,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2017 General Election, UK Independence Party,0,arundel and south downs,2017-06-08,2016-06-08,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2019 General Election, Conservative Party,2,arundel and south downs,2019-12-12,2018-12-12,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2019 General Election, Liberal Democrats,3,arundel and south downs,2019-12-12,2018-12-12,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2019 General Election, Labour Party,2,arundel and south downs,2019-12-12,2018-12-12,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2019 General Election, Green Party,5,arundel and south downs,2019-12-12,2018-12-12,10.716666666666669,7.133333333333333,14.075000000000001,57.416666666666664,16.1,1013.5833333333334,7185.0
2015 General Election, Conservative Party,0,ashfield,2015-05-07,2014-05-07,10.425,6.599999999999999,14.024999999999999,43.94166666666666,18.349999999999998,1014.55,7422.857142857143
2015 General Election, Liberal Democrats,3,ashfield,2015-05-07,2014-05-07,10.425,6.599999999999999,14.024999999999999,43.94166666666666,18.349999999999998,1014.55,7422.857142857143
2015 General Election, Liberal Democrats,2,ashfield,2015-05-07,2014-05-07,10.425,6.599999999999999,14.024999999999999,43.94166666666666,18.349999999999998,1014.55,7422.857142857143
2015 General Election, UK Independence Party,0,ashfield,2015-05-07,2014-05-07,10.425,6.599999999999999,14.024999999999999,43.94166666666666,18.349999999999998,1014.55,7422.857142857143
2015 General Election, UK Independence Party,1,ashfield,2015-05-07,2014-05-07,10.425,6.599999999999999,14.024999999999999,43.94166666666666,18.349999999999998,1014.55,7422.857142857143
2015 General Election, Labour Party,4,ashfield,2015-05-07,2014-05-07,10.425,6.599999999999999,14.024999999999999,43.94166666666666,18.349999999999998,1014.55,7422.857142857143
2015 General Election, Labour Party,0,ashfield,2015-05-07,2014-05-07,10.425,6.599999999999999,14.024999999999999,43.94166666666666,18.349999999999998,1014.55,7422.857142857143
2015 General Election, Liberal Democrats,13,ashfield,2015-05-07,2014-05-07,10.425,6.599999999999999,14.024999999999999,43.94166666666666,18.349999999999998,1014.55,7422.857142857143
2010 General Election, Liberal Democrats,1,ashford,2010-05-06,2009-05-06,10.516666666666667,7.291666666666669,13.65,48.666666666666664,19.366666666666667,1013.9499999999997,9480.0
2015 General Election, Green Party,15,ashford,2015-05-07,2014-05-07,10.516666666666667,7.291666666666669,13.65,48.666666666666664,19.366666666666667,1013.9499999999997,9480.0
2015 General Election, Green Party,20,ashford,2015-05-07,2014-05-07,10.516666666666667,7.291666666666669,13.65,48.666666666666664,19.366666666666667,1013.9499999999997,9480.0
2017 General Election, Liberal Democrats,0,ashford,2017-06-08,2016-06-08,10.516666666666667,7.291666666666669,13.65,48.666666666666664,19.366666666666667,1013.9499999999997,9480.0
2017 General Election, Labour Party,2,ashford,2017-06-08,2016-06-08,10.516666666666667,7.291666666666669,13.65,48.666666666666664,19.366666666666667,1013.9499999999997,9480.0
2010 General Election, Green Party,8,banbury,2010-05-06,2009-05-06,10.355555555555558,6.688888888888887,14.01111111111111,,11.95,1013.7833333333331,
2010 General Election, Conservative Party,0,banbury,2010-05-06,2009-05-06,10.355555555555558,6.688888888888887,14.01111111111111,,11.95,1013.7833333333331,
2017 General Election, Conservative Party,1,banbury,2017-06-08,2016-06-08,10.355555555555558,6.688888888888887,14.01111111111111,,11.95,1013.7833333333331,
2017 General Election, Labour Party,0,banbury,2017-06-08,2016-06-08,10.355555555555558,6.688888888888887,14.01111111111111,,11.95,1013.7833333333331,
2010 General Election, Labour Party,0,barking,2010-05-06,2009-05-06,10.242857142857146,6.699999999999998,13.714285714285714,,14.075000000000001,1015.3499999999999,
2010 General Election, Conservative Party,0,barking,2010-05-06,2009-05-06,10.242857142857146,6.699999999999998,13.714285714285714,,14.075000000000001,1015.3499999999999,
2010 General Election, Conservative Party,0,beckenham,2010-05-06,2009-05-06,10.883333333333333,7.041666666666667,14.641666666666666,57.416666666666664,13.9,1013.6166666666668,7185.0
2010 General Election, Labour Party,0,beckenham,2010-05-06,2009-05-06,10.883333333333333,7.041666666666667,14.641666666666666,57.416666666666664,13.9,1013.6166666666668,7185.0
2010 General Election, Liberal Democrats,0,beckenham,2010-05-06,2009-05-06,10.883333333333333,7.041666666666667,14.641666666666666,57.416666666666664,13.9,1013.6166666666668,7185.0
2010 General Election, UK Independence Party,0,beckenham,2010-05-06,2009-05-06,10.883333333333333,7.041666666666667,14.641666666666666,57.416666666666664,13.9,1013.6166666666668,7185.0
2010 General Election, Liberal Democrats,7,bermondsey and old southwark,2010-05-06,2009-05-06,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2010 General Election, Labour Party,0,bermondsey and old southwark,2010-05-06,2009-05-06,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2010 General Election, Liberal Democrats,3,bermondsey and old southwark,2010-05-06,2009-05-06,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2010 General Election, Conservative Party,1,bermondsey and old southwark,2010-05-06,2009-05-06,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2010 General Election, Labour Party,1,bermondsey and old southwark,2010-05-06,2009-05-06,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2010 General Election, Liberal Democrats,0,bermondsey and old southwark,2010-05-06,2009-05-06,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2015 General Election, Conservative Party,4,bermondsey and old southwark,2015-05-07,2014-05-07,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2015 General Election, Labour Party,0,bermondsey and old southwark,2015-05-07,2014-05-07,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2015 General Election, Liberal Democrats,0,bermondsey and old southwark,2015-05-07,2014-05-07,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2015 General Election, UK Independence Party,0,bermondsey and old southwark,2015-05-07,2014-05-07,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2015 General Election, Green Party,20,bermondsey and old southwark,2015-05-07,2014-05-07,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2015 General Election, Conservative Party,0,bermondsey and old southwark,2015-05-07,2014-05-07,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2015 General Election, Labour Party,1,bermondsey and old southwark,2015-05-07,2014-05-07,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2015 General Election, Liberal Democrats,2,bermondsey and old southwark,2015-05-07,2014-05-07,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2017 General Election, Labour Party,0,bermondsey and old southwark,2017-06-08,2016-06-08,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2017 General Election, Liberal Democrats,3,bermondsey and old southwark,2017-06-08,2016-06-08,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2017 General Election, Liberal Democrats,0,bermondsey and old southwark,2017-06-08,2016-06-08,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2017 General Election, Labour Party,3,bermondsey and old southwark,2017-06-08,2016-06-08,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2017 General Election, Liberal Democrats,1,bermondsey and old southwark,2017-06-08,2016-06-08,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2017 General Election, Green Party,20,bermondsey and old southwark,2017-06-08,2016-06-08,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2017 General Election, Conservative Party,0,bermondsey and old southwark,2017-06-08,2016-06-08,10.883333333333333,7.041666666666665,14.64166666666667,57.416666666666664,13.9,1013.6166666666664,7185.0
2010 General Election, Liberal Democrats,1,bexhill and battle,2010-05-06,2009-05-06,10.333333333333334,6.900000000000001,13.533333333333333,48.666666666666664,16.1,1013.9749999999999,9480.0
2010 General Election, Liberal Democrats,0,bexhill and battle,2010-05-06,2009-05-06,10.333333333333334,6.900000000000001,13.533333333333333,48.666666666666664,16.1,1013.9749999999999,9480.0
2010 General Election, Liberal Democrats,2,bexhill and battle,2010-05-06,2009-05-06,10.333333333333334,6.900000000000001,13.533333333333333,48.666666666666664,16.1,1013.9749999999999,9480.0
2010 General Election, Conservative Party,1,bexhill and battle,2010-05-06,2009-05-06,10.333333333333334,6.900000000000001,13.533333333333333,48.666666666666664,16.1,1013.9749999999999,9480.0
2010 General Election, Conservative Party,2,bexhill and battle,2010-05-06,2009-05-06,10.333333333333334,6.900000000000001,13.533333333333333,48.666666666666664,16.1,1013.9749999999999,9480.0
2010 General Election, Labour Party,1,bexhill and battle,2010-05-06,2009-05-06,10.333333333333334,6.900000000000001,13.533333333333333,48.666666666666664,16.1,1013.9749999999999,9480.0
2017 General Election, Conservative Party,1,bexhill and battle,2017-06-08,2016-06-08,10.333333333333334,6.900000000000001,13.533333333333333,48.666666666666664,16.1,1013.9749999999999,9480.0
2010 General Election, Conservative Party,8,altrincham and sale west,2010-05-06,2009-05-06,9.241666666666667,5.508333333333334,12.950000000000001,51.666666666666664,13.979999999999997,1013.025,6970.0
2010 General Election, Liberal Democrats,3,altrincham and sale west,2010-05-06,2009-05-06,9.241666666666667,5.508333333333334,12.950000000000001,51.666666666666664,13.979999999999997,1013.025,6970.0
2010 General Election, Labour Party,1,altrincham and sale west,2010-05-06,2009-05-06,9.241666666666667,5.508333333333334,12.950000000000001,51.666666666666664,13.979999999999997,1013.025,6970.0
2017 General Election, Conservative Party,1,altrincham and sale west,2017-06-08,2016-06-08,9.241666666666667,5.508333333333334,12.950000000000001,51.666666666666664,13.979999999999997,1013.025,6970.0
